"question","answer"
"What are your shipping options?","We offer Standard Shipping (5-7 business days), Express Shipping (2-3 business days), and Next Day Delivery for orders placed before 2 PM."
"How do I return an item?","Start a return within 30 days of delivery through your account or contact support. Items must be unworn with tags attached."
"What is your return policy?","We accept returns within 30 days of delivery for unworn items with original tags. Sale items are final sale unless defective. Once we receive your return, refunds are processed within 5-7 business days to your original payment method. Please note that shipping costs are non-refundable unless the return is due to our error or a defective product. For exchanges, we recommend returning the original item and placing a new order to ensure availability."
"Do you offer free shipping?","Yes! Free standard shipping on orders over $75. Members get free shipping on all orders."
"How do I track my order?","Once shipped, you'll receive an email with tracking info. You can also check order status in your account dashboard."
"What sizes do you carry?","We offer sizes XS-3XL in most styles. Check the size guide on each product page for detailed measurements including bust, waist, hip, and length. Our size guide also includes model height and size worn for reference. If you're between sizes, we generally recommend sizing up for a more relaxed fit or sizing down for a more fitted look, depending on the style."
"Do you have a size guide?","Yes, each product page has a size guide. We also have a general size chart under Help > Size Guide."
"Can I cancel my order?","Orders can be canceled within 1 hour of placement. After that, we begin processing and cannot guarantee cancellation."
"What payment methods do you accept?","We accept Visa, Mastercard, American Express, Discover, PayPal, Apple Pay, Google Pay, Shop Pay, and Afterpay/Klarna for buy-now-pay-later."
"Do you offer gift cards?","Yes! Digital gift cards available from $25-$500. Sent instantly via email, never expire."
"How do I use a promo code?","Enter your code at checkout in the 'Promo Code' field. Only one code per order."
"What's your price match policy?","We don't price match competitors, but we do offer a price adjustment if an item goes on sale within 14 days of purchase."
"Are your clothes sustainable?","We're committed to sustainability. Our Eco Collection uses 100% organic cotton and recycled materials. We've eliminated single-use plastics from packaging, use carbon-neutral shipping options, and partner with certified ethical factories. By 2025, we aim to have 50% of our entire catalog made from sustainable materials. Check product descriptions for specific sustainability certifications like GOTS, OEKO-TEX, and Fair Trade."
"How should I care for my clothes?","Care instructions are on each garment's label and product page. Generally: wash cold, tumble dry low, avoid bleach."
"Do you have physical stores?","We have 15 retail locations across the US. Find your nearest store at our Store Locator page."
"Can I shop internationally?","Yes! We ship to over 50 countries. International shipping rates and delivery times vary by destination. Customs duties and taxes may apply and are the responsibility of the customer. For EU customers, orders under â‚¬150 include VAT at checkout. For orders above this threshold, additional duties may be collected upon delivery."
"What if my item arrives damaged?","Contact us within 48 hours with photos. We'll send a replacement or full refund immediately, no return needed."
"Do you have a loyalty program?","Yes! Join StyleRewards for free. Earn 1 point per $1 spent, birthday rewards, early sale access, and exclusive member pricing. Silver status at 500 points, Gold at 1500 points with bonus perks like free alterations and priority support."
"How do I find my perfect fit?","Use our Fit Finder quiz for personalized recommendations. Each product also shows fit type (slim, regular, relaxed) and model measurements."
"What materials do you use?","We use cotton, linen, silk, wool, polyester blends, and recycled materials depending on the style. Material composition is listed on every product page under 'Details'. Our premium line features Supima cotton and merino wool. We avoid materials with harmful chemicals and all our suppliers must meet our strict quality and ethical standards."
"Can I modify my order after placing it?","Contact us ASAP. We can sometimes update shipping address or add items before processing begins, usually within 1 hour."
"Do you offer alterations?","Gold members get free basic alterations. Others can request alterations for a fee at select store locations."
"What's your exchange policy?","We don't do direct exchanges. Return your item for a refund and place a new order to ensure you get your preferred size/color while it's in stock."
"How long do refunds take?","5-7 business days after we receive your return. Original payment method only."
"Do you restock sold-out items?","Popular items often restock. Click 'Notify Me' on sold-out products to get an email when available."
"Are your products ethically made?","Yes. All factories are audited for fair wages, safe conditions, and no child labor. We're a member of the Fair Labor Association and publish our supplier list annually for transparency."
